"billPeriodEnd"|"billdocAaxId"|"salesPartnerAaxId"|"customerAaxId"|"customerId"|"orderableProductName"|"baseProductName"|"countryCode"|"billableItemId"|"billDocumentnetAmount"|"amount"|"amountPerCustomerRegion"
"31/10/2021"|"313401335"|"1800008521"|"2023537385"|"Seven RegKunde"|"Austrian Toll"|"Toll ASFiNAG"|"AT"|"2021-0000000004621149"|"338433758.37"|".32"|"50471.45"
"31/10/2021"|"313401335"|"1800008521"|"2023537385"|"Seven RegKunde"|"Austrian Toll"|"Toll ASFiNAG"|"AT"|"2021-0000000004621150"|"338433758.37"|"131.64"|"50471.45"
"31/10/2021"|"313401335"|"1800008521"|"2023537385"|"Seven RegKunde"|"Austrian Toll"|"Toll ASFiNAG"|"AT"|"2021-0000000004621152"|"338433758.37"|".9"|"50471.45"
"31/10/2021"|"313401335"|"1800008521"|"2023537385"|"Seven RegKunde"|"Austrian Toll"|"Toll ASFiNAG"|"AT"|"2021-0000000004621153"|"338433758.37"|"141.26"|"50471.45"
"31/10/2021"|"313401335"|"1800008521"|"2023537385"|"Seven RegKunde"|"Austrian Toll"|"Toll ASFiNAG"|"AT"|"2021-0000000004621156"|"338433758.37"|"140.96"|"50471.45"
"31/10/2021"|"313401335"|"1800008521"|"2023537385"|"Seven RegKunde"|"Austrian Toll"|"Toll ASFiNAG"|"AT"|"2021-0000000004621157"|"338433758.37"|"82.42"|"50471.45"
"31/10/2021"|"313401335"|"1800008521"|"2023537385"|"Seven RegKunde"|"Austrian Toll"|"Toll ASFiNAG"|"AT"|"2021-0000000004621158"|"338433758.37"|"53.1"|"50471.45"
"31/10/2021"|"313401335"|"1800008521"|"2023537385"|"Seven RegKunde"|"Austrian Toll"|"Toll ASFiNAG"|"AT"|"2021-0000000004621168"|"338433758.37"|"140.96"|"50471.45"
"31/10/2021"|"313401335"|"1800008521"|"2023537385"|"Seven RegKunde"|"Austrian Toll"|"Toll ASFiNAG"|"AT"|"2021-0000000004621171"|"338433758.37"|"135.6"|"50471.45"
"31/10/2021"|"313401335"|"1800008521"|"2023537385"|"Seven RegKunde"|"Austrian Toll"|"Toll ASFiNAG"|"AT"|"2021-0000000004621172"|"338433758.37"|"9.49"|"50471.45"
"31/10/2021"|"313401335"|"1800008521"|"2023537385"|"Seven RegKunde"|"Austrian Toll"|"Toll ASFiNAG"|"AT"|"2021-0000000004621286"|"338433758.37"|"140.96"|"50471.45"
